Brand,Type,Material,color,FromNewSeason,ManufacturingCountry,Description,Price
Tory Burch,Tote Bags,canvas,ivory white/black/cognac brown,New Season,,0,451
Stella McCartney,Shoulder Bags,foldover top with magnetic fastening,black,New Season,Made in Italy,0,1365
See by Chloé,Shoulder Bags,cotton/leather,jet black,New Season,,0,581
Alexander Wang,Mini Bags,satin,butterfly yellow,New Season,Made in Italy,0,515
Tod's,Shoulder Bags,calf leather,beige,New Season,Made in Italy,0,2158
Jil Sander,Tote Bags,,,,Made in Italy,0,1600
BY FAR,Tote Bags,calf leather,walnut brown,New Season,,0,431
Reco,Mini Bags,leather,dark brown,New Season,,0,588
MM6 Maison Margiela,Tote Bags,pebbled texture,off-white,New Season,Made in Italy,0,459
STAUD,Messenger & Crossbody Bags,calf leather,black,New Season,,1,376
Rosantica,Mini Bags,calf leather,light blue,New Season,Made in Italy,0,903
Jacquemus,Messenger & Crossbody Bags,calf leather,amethyst purple,New Season,Made in Italy,1,910
TOM FORD,Shoulder Bags,,,,Made in Italy,1,1240
MACH & MACH,Tote Bags,calf suede,black,New Season,Made in Italy,1,903
GANNI,Messenger & Crossbody Bags,cotton blend/recycled polyester blend,gold-tone,New Season,,0,267
Jacquemus,Shoulder Bags,leather,turquoise green,,Made in Italy,1,795
STAND STUDIO,Shoulder Bags,lambskin,burgundy,,,0,682
Tory Burch,Messenger & Crossbody Bags,leather,black,,,0,520
JW Anderson,Shoulder Bags,calfskin,light pink,New Season,,1,895
STAND STUDIO,Shoulder Bags,lambskin,orange,,,0,600
Alexander Wang,Clutch Bags,ostrich feather,black,New Season,Made in Italy,0,1703
Chloé,Messenger & Crossbody Bags,calf leather,cornflower blue,New Season,,1,752
STATE OF ESCAPE,Tote Bags,fully perforated,khaki,New Season,,0,301
BY FAR,Shoulder Bags,cotton/calf leather ,black ,,,0,276
Paco Rabanne,Shoulder Bags,chain-link shoulder strap,,New Season,,1,1555
JW Anderson,Shoulder Bags,lambskin/calf skin/kid leather,bright green,New Season,,0,895
Dolce & Gabbana,Tote Bags,calf leather,bright red,,Made in Italy,0,1659
Jil Sander,Bucket Bags,calf leather,cream white/black,New Season,Made in Italy,0,695
Jil Sander,Messenger & Crossbody Bags,calf leather,sea foam green,New Season,Made in Italy,0,695
Off-White,Tote Bags,leather,black,,Made in Italy,1,1108
Courrèges,Mini Bags,high-shine finish,jet black,New Season,,0,520
STATE OF ESCAPE,Tote Bags,acid wash,black,New Season,,0,321
Tod's,Tote Bags,calf leather,bone white,New Season,Made in Italy,1,1887
Lemaire,Messenger & Crossbody Bags,cotton,olive brown,New Season,,1,1045
STAUD,Tote Bags,glass crystal embellishment,jet black,New Season,,0,424
FPM Milano,Luggage,ribbed detailing,rose red,New Season,Made in Italy,0,2034
Stella McCartney,Bucket Bags,artificial leather,banana yellow,New Season,Made in Italy,0,1470
Rodo,Tote Bags,silk satin,black,New Season,Made in Italy,1,677
KHAITE,Shoulder Bags,leather,black,New Season,Made in Italy,0,1805
Rosantica,Mini Bags,metal,gold-tone,New Season,Made in Italy,0,903
Vanina,Bucket Bags,crystal embellishment,gold-tone,New Season,,0,814
JW Anderson,Shoulder Bags,lambskin,black/multicolour,,,0,1104
Lemaire,Messenger & Crossbody Bags,canvas,mahogany,,,1,650
Isabel Marant,Shoulder Bags,suede,black,New Season,,1,640
Pleats Please Issey Miyake,Tote Bags,fully pleated,jet black,New Season,,0,513
ETRO,Tote Bags,cotton/calf leather,beige/multicolour,New Season,Made in Italy,0,719
Bao Bao Issey Miyake,Bucket Bags,panelled design,black/white/teal green,New Season,,0,889
Benedetta Bruzziches,Shoulder Bags,iridescent,rose pink,New Season,Made in Italy,1,889
Wandler,Shoulder Bags,calf leather,rose pink,New Season,Made in Italy,0,800
STAUD,Shoulder Bags,bead embellishment,multicolour,New Season,,0,305
STATE OF ESCAPE,Tote Bags,fully perforated,navy blue,New Season,,0,301
LASTFRAME,Tote Bags,interwoven design,lavender purple,New Season,,0,308
The Attico,Tote Bags,calf leather,light orange,New Season,Made in Italy,1,1000
Vanina,Tote Bags,basket weave,grey,New Season,,0,274
Jacquemus,Tote Bags,calf leather,amber orange,New Season,,1,834
Paco Rabanne,Tote Bags,metallic finish,geranium orange/multicolour,New Season,,1,1040
Stella McCartney,Tote Bags,faux leather,black,New Season,Made in Italy,1,1470
Vanina,Mini Bags,crystal embellishment,multicolour,New Season,,1,718
See by Chloé,Messenger & Crossbody Bags,goatskin,black,New Season,,0,510
MM6 Maison Margiela,Tote Bags,calf leather,celeste,New Season,Made in Italy,0,564
STAUD,Tote Bags,calf leather trim,natural/tan brown,New Season,,0,424
Amina Muaddi,Mini Bags,transparent design,blue,,Made in Italy,1,827
BY FAR,Tote Bags,leather,cobalt blue,New Season,,1,486
BY FAR,Shoulder Bags,calf leather,beige,New Season,,1,725
Jil Sander,Tote Bags,leather,pink,,Made in Italy,1,2097
BY FAR,Tote Bags,goatskin/cotton,silver-tone,New Season,,1,520
Wandler,Shoulder Bags,calf leather,mustard yellow,New Season,Made in Italy,0,800
Dolce & Gabbana,Tote Bags,straw/cotton/calf leather,violet/multicolour,,Made in Italy,0,1936
Rosantica,Mini Bags,mesh panelling,gold-tone,New Season,Made in Italy,0,602
Chloé,Messenger & Crossbody Bags,calf leather,light green,New Season,,1,670
KHAITE,Clutch Bags,glass crystal embellishment,silver-tone,New Season,Made in Italy,0,4719
Chloé,Messenger & Crossbody Bags,calf leather,olive green,,Made in Italy,1,2052
Brunello Cucinelli,Backpacks,virgin wool,ash grey,New Season,Made in Italy,0,3214
Lemaire,Messenger & Crossbody Bags,calf leather,olive brown,,,0,1593
Stella McCartney,Clutch Bags,faux leather,black,New Season,Made in Italy,1,1087
Chloé,Shoulder Bags,calf leather,beige,,Made in Italy,1,2530
TOM FORD,Shoulder Bags,leather,jet black,,Made in Italy,0,3488
Jimmy Choo,Tote Bags,calf leather,white,New Season,Made in Italy,0,4507
Balmain,Tote Bags,lambskin,black/brown,New Season,Made in Italy,1,2570
TOM FORD,Tote Bags,calf leather,gold-tone,New Season,Made in Italy,1,3488
LASTFRAME,Tote Bags,checkerboard knit,hot pink/red,New Season,,0,369
Chloé,Messenger & Crossbody Bags,calf leather,light tan brown,,Made in Italy,0,2756
Reco,Mini Bags,leather,light yellow,New Season,,0,588
Jimmy Choo,Shoulder Bags,lambskin,ballet pink,New Season,Made in Italy,0,1085
Jil Sander,Shoulder Bags,calf leather,lavender purple,New Season,Made in Italy,0,930
STATE OF ESCAPE,Tote Bags,fully perforated,sage green/fluorescent yellow/black,New Season,,0,301
STATE OF ESCAPE,Tote Bags,perforated detailing,black,New Season,,0,315
Wandler,Shoulder Bags,goat skin,white/black,New Season,Made in Italy,0,568
BY FAR,Shoulder Bags,calf leather,black,New Season,,1,704
Vanina,Tote Bags,glass,gold-tone,New Season,,0,506
ETRO,Messenger & Crossbody Bags,calf leather trim,earth brown,New Season,Made in Italy,0,763
PUBLISHED BY,Shoulder Bags,silver-tone,black,New Season,,0,691
Chloé,Clutch Bags,calf leather,powder blue,,Made in Italy,1,2055
Vanina,Shoulder Bags,sequin embellishment,gold-tone,New Season,,0,410
Jil Sander,Messenger & Crossbody Bags,calf leather,ivory white,New Season,Made in Italy,0,766
Wandler,Shoulder Bags,calf leather,cognac brown,New Season,Made in Italy,0,775
Brunello Cucinelli,Clutch Bags,calf leather/calf suede,black,New Season,Made in Italy,0,3077
Alexander Wang,Tote Bags,calf leather,black,New Season,Made in Italy,0,1135
Rosantica,Messenger & Crossbody Bags,pearl detailing,peach orange,New Season,Made in Italy,0,602
KHAITE,Tote Bags,leather,black,,Made in Italy,0,1928
Vanina,Shoulder Bags,taffeta,sunflower yellow,New Season,,0,362
Paco Rabanne,Shoulder Bags,polished finish,silver-tone,New Season,,1,1427
BY FAR,Tote Bags,goatskin,silver-tone,New Season,,1,588
Vanina,Mini Bags,pearl detail,gold-tone,Conscious,,1,356
STAUD,Shoulder Bags,glass crystal embellishment,bronze-tone,New Season,,0,424
BY FAR,Shoulder Bags,calf leather,light beige,New Season,,1,675
Lemaire,Shoulder Bags,calf leather,olive brown,New Season,,1,1040
Wandler,Shoulder Bags,calf leather,brown,New Season,Made in Italy,1,875
Wandler,Shoulder Bags,calf leather,jet black,New Season,Made in Italy,0,800
Blumarine,Shoulder Bags,calf leather,bright red,,Made in Italy,1,564
Moncler,Messenger & Crossbody Bags,leather,beige,,Made in Italy,1,641
Kvadrat,Tote Bags,leather,dark green,,Made in Italy,1,725
Savette,Shoulder Bags,calf leather,black,New Season,Made in Italy,0,1901
GANNI,Shoulder Bags,recycled leather,orange/black,New Season,,0,349
Jil Sander,Tote Bags,calf leather,cosmic latte white,,Made in Italy,0,1928
KHAITE,Tote Bags,,,,,0,1660
KHAITE,Shoulder Bags,calf leather,beige,New Season,Made in Italy,0,2585
Rosantica,Shoulder Bags,sequin design,black/white,New Season,Made in Italy,0,629
BY FAR,Shoulder Bags,leather,black,,,0,294
Blumarine,Shoulder Bags,faux-fur design,black,New Season,Made in Italy,0,495
Tory Burch,Bucket Bags,full jacquard,multicolour,New Season,,1,910
Reco,Shoulder Bags,leather,carrot orange/cloud white,New Season,,0,855
Savette,Shoulder Bags,leather,ivory white,,Made in Italy,0,1669
PUBLISHED BY,Shoulder Bags,calf leather,jet black,New Season,,0,677
Tory Burch,Shoulder Bags,cotton,black,New Season,,0,510
Rosantica,Messenger & Crossbody Bags,tulle netting,black,New Season,Made in Italy,0,602
Rosantica,Tote Bags,calf leather,black,New Season,Made in Italy,0,1053
Reco,Tote Bags,calf leather,burnt orange,New Season,,1,793
KHAITE,Shoulder Bags,shearling,black,New Season,Made in Italy,0,2476
Savette,Shoulder Bags,calf leather,black,New Season,Made in Italy,0,2106
Mehry Mu,Tote Bags,,,,,0,593
LASTFRAME,Tote Bags,semi-sheer construction,ivory white/black,New Season,,0,308
Tod's,Messenger & Crossbody Bags,leather,jet black,New Season,Made in Italy,0,1607
Alexander McQueen,Bucket Bags,calf leather,pink,New Season,Made in Italy,0,1190
Chloé,Shoulder Bags,calf leather,brown,,Made in Italy,0,1593
Stella McCartney,Shoulder Bags,crystal embellishment,yellow,New Season,Made in Italy,1,1160
LASTFRAME,Tote Bags,ribbed knit,ivory white/bright green,New Season,,0,383
Maison Margiela,Bucket Bags,calf leather,brown,New Season,Made in Italy,0,1150
Rosantica,Tote Bags,calf leather,black,New Season,Made in Italy,0,1156
Alexander McQueen,Clutch Bags,calf leather,apple green,New Season,Made in Italy,1,1890
Rosantica,Tote Bags,sequin design,gold-tone,New Season,Made in Italy,0,903
Reco,Tote Bags,calf leather,olive green,New Season,,1,793
The Attico,Shoulder Bags,calf leather,light blue,New Season,Made in Italy,1,2160
KHAITE,Shoulder Bags,calf leather,red,New Season,Made in Italy,0,1689
Jil Sander,Messenger & Crossbody Bags,leather,black,New Season,Made in Italy,1,1580
Rosantica,Tote Bags,calf leather,rose pink,New Season,Made in Italy,0,1053
Courrèges,Messenger & Crossbody Bags,calf leather,white,New Season,,0,830
Wandler,Shoulder Bags,calf suede,yellow,New Season,Made in Italy,0,800
Vanina,Shoulder Bags,holographic effect,silver-tone,New Season,,0,410
Wandler,Tote Bags,calf leather,black,New Season,Made in Italy,0,1142
Tod's,Shoulder Bags,calf leather,beige,New Season,Made in Italy,1,1970
Chloé,Shoulder Bags,calf leather,light beige,,Made in Italy,1,2523
KHAITE,Tote Bags,,,,Made in Italy,1,1935
KHAITE,Shoulder Bags,calf suede,lemon yellow,New Season,Made in Italy,0,2024
Chloé,Messenger & Crossbody Bags,lambskin,bold brown,,Made in Italy,0,2982
KHAITE,Tote Bags,calf suede,black,New Season,Made in Italy,0,2229
KHAITE,Shoulder Bags,calf suede,lemon yellow,New Season,,0,1305
Brunello Cucinelli,Messenger & Crossbody Bags,calf leather,mud grey,New Season,Made in Italy,0,1012
Chloé,Messenger & Crossbody Bags,calf leather,light brown,New Season,,0,657
PUBLISHED BY,Tote Bags,calf leather,black,New Season,,0,1053
ETRO,Bucket Bags,canvas/calf leather,brown,New Season,Made in Italy,1,940
Savette,Messenger & Crossbody Bags,calf leather,black,New Season,Made in Italy,0,1025
Kvadrat,Tote Bags,leather,pink,,Made in Italy,1,731
Valentino Garavani,Shoulder Bags,leather,green,,Made in Italy,1,3307
MM6 Maison Margiela,Tote Bags,calf leather/cotton,black/white/teal green,New Season,Made in Italy,1,531
Moschino,Clutch Bags,calf leather,black,New Season,Made in Italy,0,821
Tod's,Tote Bags,calf leather,light beige,New Season,Made in Italy,1,1853
Wandler,Mini Bags,calf leather,black,New Season,Made in Italy,0,718
Chloé,Tote Bags,leather trim,light brown,,Made in Italy,0,1204
Rodo,Shoulder Bags,silk,tangerine orange,New Season,Made in Italy,1,677
KHAITE,Bucket Bags,calf leather,taupe brown,New Season,Made in Italy,1,1949
Tod's,Shoulder Bags,calf leather,green,New Season,Made in Italy,1,2346
KHAITE,Messenger & Crossbody Bags,calfskin,black,New Season,Made in Italy,0,1771
Jacquemus,Tote Bags,leather,black,,Made in Italy,1,653
Jacquemus,Shoulder Bags,leather,white,,Made in Italy,1,653
Jacquemus,Tote Bags,leather ,white,,Made in Italy,1,677
Jacquemus,Beach Bags,straw/calf leather,beige/light pink,,,1,490
Floyd,Luggage,,,,,0,462
Jacquemus,Shoulder Bags,leather,black,,Made in Italy,1,835
Vivienne Westwood,Shoulder Bags,faux leather,black,New Season,,0,342
Simone Rocha,Messenger & Crossbody Bags,heart shape,pearlescent finish,,,0,675
Versace,Messenger & Crossbody Bags,leather,black,New Season,Made in Italy,0,1259
Tod's,Tote Bags,leather,black,,Made in Italy,0,1853
Stella McCartney,Shoulder Bags,two rounded top handles,black ,Conscious,Made in Italy,1,713
Isabel Marant,Shoulder Bags,raffia/leather,beige/black,,Made in Italy,1,513
FPM Milano,Luggage,,,,Made in Italy,0,1441
Stella McCartney,Tote Bags,,,Conscious,Made in Italy,0,953
FPM Milano,Luggage,aluminium,silver-tone,,Made in Italy,1,1176
Vanina,Shoulder Bags,gold-tone hardware,cream white,New Season,,1,561
See by Chloé,Shoulder Bags,,,,,1,525
Rains,Luggage,waterproof,black,Conscious,,0,82
Rains,Messenger & Crossbody Bags,matte finish,black,Conscious,,1,75
Vanina,Shoulder Bags,mother-of-pearl,rose pink/multicolour,New Season,,0,724
Tod's,Tote Bags,calf leather,luggage brown,New Season,Made in Italy,1,1887
PUBLISHED BY,Shoulder Bags,leather,silver-tone,New Season,Made in Italy,1,704
KHAITE,Clutch Bags,leather,black,,Made in Italy,1,1305
STAUD,Shoulder Bags,leather,black,,,0,376
Versace,Messenger & Crossbody Bags,leather,black,,Made in Italy,1,1175
Tod's,Tote Bags,leather,light beige,New Season,Made in Italy,1,1559
Wandler,Shoulder Bags,,,New Season,Made in Italy,0,755
Vanina,Tote Bags,sequin embellishment,multicolour,New Season,,0,328
Vanina,Bucket Bags,calf leather,cream white,New Season,,0,520
Vanina,Shoulder Bags,pearl detail,cream white,New Season,,1,527
Chloé,Messenger & Crossbody Bags,leather,motty grey,Runway,Made in Italy,1,1586
Versace,Beach Bags,cotton,black,,Made in Italy,1,650
STAUD,Shoulder Bags,,,,Made in United States,0,202
Stella McCartney,Tote Bags,faux leather,pale pink,Conscious,Made in Italy,1,1553
Amina Muaddi,Mini Bags,leather,neon-green,,Made in Italy,0,875
Lemaire,Messenger & Crossbody Bags,leather,olive green,,,1,1135
Marc Jacobs,Tote Bags,canvas,black/white,New Season,,1,288
Saint Laurent,Messenger & Crossbody Bags,logo plaque,black,,Made in Italy,1,1450
Marc Jacobs,Mini Bags,logo print to the front,black,New Season,,1,264
Marc Jacobs,Tote Bags,cotton,beige,,,0,261
Karl Lagerfeld,Shoulder Bags,leather ,black,,,0,193
Marc Jacobs,Tote Bags,canvas,sand-beige,,,1,285
Saint Laurent,Tote Bags,lambskin,black,,Made in Italy,1,4900
Off-White,Shoulder Bags,leather,black,,Made in Italy,1,785
Saint Laurent,Mini Bags,leather,black,,,1,795
Saint Laurent,Shoulder Bags,Y quilting,Black,,Made in Italy,1,3200
Saint Laurent,Shoulder Bags,leather,black,,Made in Italy,0,1546
Saint Laurent,Messenger & Crossbody Bags,logo plaque,beige,,Made in Italy,1,1450
Off-White,Messenger & Crossbody Bags,calf leather,black,,Made in Italy,1,890
Saint Laurent,Messenger & Crossbody Bags,,,,Made in Italy,0,1950
Karl Lagerfeld,Tote Bags,calf leather,black,,,0,100
Off-White,Tote Bags,cotton/leather,white/black,Exclusive,Made in Italy,1,758
Karl Lagerfeld,Messenger & Crossbody Bags,calf leather,fuchsia pink,,,0,195
Gucci,Shoulder Bags,,,,Made in Italy,0,2290
Furla,Tote Bags,leather,white,,,1,119
Off-White,Clutch Bags,lambskin/cotton,black/white,,Made in Italy,1,653
Marc Jacobs,Tote Bags,leather,black,,,1,389
Marc Jacobs,Tote Bags,canvas,black/white,,,0,330
Marc Jacobs,Tote Bags,cotton-blend,beige/black,,,0,337
Karl Lagerfeld,Tote Bags,cotton,black,,,1,71
Balenciaga,Shoulder Bags,leather,pink,Conscious,Made in Italy,1,2700
Karl Lagerfeld,Backpacks,monogram pattern,black/ash grey,,,1,156
Gucci,Messenger & Crossbody Bags,leather/canvas,beige ,,Made in Italy,1,2870
Saint Laurent,Mini Bags,leather,black,,Made in Italy,1,745
Saint Laurent,Shoulder Bags,,,,Made in Italy,0,2950
Gucci,Shoulder Bags,canvas/leather,beige,,Made in Italy,1,2870
Marc Jacobs,Tote Bags,cotton-blend,black/white,,,1,560
Marc Jacobs,Messenger & Crossbody Bags,leather,beige,,,1,306
Saint Laurent,Clutch Bags,leather,dark beige,,Made in Italy,1,795
Saint Laurent,Shoulder Bags,leather,black,,Made in Italy,1,2400
adidas by Stella McCartney,Belt Bags,logo print to the front,black/white,New Season,,0,96
Marc Jacobs,Tote Bags,leather,black,,,1,467
Saint Laurent,Messenger & Crossbody Bags,calf leather,black,,Made in Italy,1,1990
Marc Jacobs,Messenger & Crossbody Bags,,,,,1,306
Saint Laurent,Shoulder Bags,leather,black,,Made in Italy,1,2590
Proenza Schouler,Messenger & Crossbody Bags,calf leather,forest green,,Made in Italy,0,417
Karl Lagerfeld,Messenger & Crossbody Bags,cotton-blend,black/camel-brown,,,0,165
Karl Lagerfeld,Bucket Bags,leather/cotton,black,,,0,139
Karl Lagerfeld,Shoulder Bags,calf leather,black/lime green,,,0,212
Michael Michael Kors,Backpacks,calf leather ,black ,,,0,420
Palm Angels,Shoulder Bags,calf leather,black,,Made in Italy,1,656
See by Chloé,Shoulder Bags,calf leather/cotton,brown,,,0,338
Karl Lagerfeld,Shoulder Bags,padded design,black,Conscious,,1,195
Off-White,Tote Bags,calf leather,sand beige,,Made in Italy,0,596
Saint Laurent,Clutch Bags,calf leather,dark beige ,,Made in Italy,1,625
Karl Lagerfeld,Tote Bags,monogram pattern,jet black,,,0,167
Marc Jacobs,Messenger & Crossbody Bags,leather,black/beluga grey/cream white,New Season,,1,432
Karl Lagerfeld,Messenger & Crossbody Bags,recycled leather,black,,,0,111
Saint Laurent,Clutch Bags,,,,Made in Italy,0,775
Karl Lagerfeld,Mini Bags,recycled polyester blend,black,Conscious,,0,72
Marc Jacobs,Messenger & Crossbody Bags,leather,jet black/dark red,,Made in Italy,0,396
Isabel Marant,Tote Bags,vertical stripe pattern,white/multicolour,,,0,165
Karl Lagerfeld,Laptop Bags,leather,jet black,,,0,115
adidas by Stella McCartney,Tote Bags,logo print to the front,black/white,New Season,,0,132
Karl Lagerfeld,Shoulder Bags,grained texture,black/multicolour,,,0,111
