Brand,Type,Material,color,FromNewSeason,ManufacturingCountry,Description,Price
Vanina,Tote Bags,raffia,sand beige,New Season,,1,301
Balmain,Shoulder Bags,leather,black,New Season,Made in Italy,1,1380
Courrèges,Messenger & Crossbody Bags,calf leather,black,New Season,,0,825
JW Anderson,Shoulder Bags,calf leather/calf suede,bright green,,,1,1008
BY FAR,Shoulder Bags,calf leather,purple Haze,New Season,,1,445
KHAITE,Bucket Bags,calf leather,black,New Season,Made in Italy,0,1920
BY FAR,Shoulder Bags,calf leather,beige/brown,New Season,,0,675
Tod's,Tote Bags,calf suede,chocolate brown,New Season,Made in Italy,0,2011
Maison Margiela,Tote Bags,leather,white,New Season,Made in Italy,1,2207
Rosantica,Tote Bags,crystal embellishment,indigo blue,New Season,Made in Italy,0,1115
Tod's,Shoulder Bags,calf leather,off-white,New Season,Made in Italy,0,2230
ETRO,Tote Bags,cotton blend,white/multicolour,New Season,Made in Italy,1,653
BY FAR,Shoulder Bags,calf leather,beige,New Season,,1,581
